Observation time: 1998.05.01_11:12:30
Central Carrington longitude: 135.1
B0 angle & Nmax:       -4.1948652          90
      40       3     0.747076     -1.45660
      40       4     0.461750     0.706083
      40       5   -0.0318587     0.670106
      40       6      1.38364     0.808925
      40       7    -0.121649     0.538358
      40       8     -3.18150     -1.07299
      40       9     -2.60656    -0.672249
      40      10    -0.682252     0.142025
      40      11      1.50707      2.13277
      40      12     0.428968    -0.943967
      40      13     -2.74357    -0.369062
      40      14    -0.510044    -0.710474
      40      15      1.27497     -1.20757
      40      16      1.00773     0.145106
      40      17      1.14565     0.649318
      40      18    -0.755386    -0.466688
      40      19      2.12917      1.22581
      40      20     -1.43603     -2.06263
      40      21     0.557408    -0.340448
      40      22     0.731404    -0.558087
      40      23     0.584458   -0.0664194
      40      24     0.761501     0.523409
      40      25     -2.99973     -2.70776
      40      26     -1.10582    -0.112286
