Coefficients order=90 center=CT2039:180
Observation time: 2006.02.01_14:17:32
B0 angle & Nmax:        0          90





Max Harmonic Order:90   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)
      37      15     -1.60784    -0.461946
      37      16      3.83959    -0.255743
      37      17    -0.203913     -1.89610
      37      18     -1.70041      3.13018
      37      19     0.471855     -2.02235
      37      20     -1.71991    -0.421518
      37      21     0.832851    -0.338750
      37      22     0.247720    -0.358463
      37      23     -2.55278      3.23513
      37      24     0.141223    -0.191315
      37      25     -3.73449    -0.605884
      37      26      2.63990     -1.34698
      37      27     0.416789     -1.15559
      37      28    -0.443476      4.63767
      37      29     -2.26342     0.926829
      37      30     -2.48544    -0.285586
      37      31      3.67383     -1.28324
      37      32     0.805264      1.55742
      37      33      2.58700      2.91694
      37      34     -4.82269     -3.05607
      37      35      3.33485     -1.82056
      37      36     -2.28058      1.40994
      37      37     0.934396     -1.01738
      38       0     0.320759      0.00000
      38       1      1.78136     -1.92326
      38       2    -0.245815     -2.20094
      38       3      1.18646    -0.105132
      38       4      1.32408     -1.58956
      38       5    -0.642537     -1.90260
      38       6     0.221252      1.05339
      38       7     -1.25874     -2.78766
      38       8     -2.07524      1.70139
      38       9     0.577048     -1.53771
      38      10     -1.06297     -1.03368
      38      11    -0.799634      1.05049
      38      12      2.79231     -2.43500
      38      13     -2.41254    -0.215789
      38      14     0.215177      1.16185
      38      15     -2.01458     -1.84204
      38      16     -2.36890    -0.340634
      38      17      1.60782    -0.578390
      38      18     -1.88516    -0.616222
      38      19  -0.00722115      3.45109
      38      20    -0.526845     -1.83029
      38      21     -3.05749     0.577561
      38      22      1.96572    -0.610556
      38      23    0.0583681     -1.67156
      38      24      1.68070      3.08727
      38      25    -0.211389     0.240854
      38      26     -3.71037      1.07949
      38      27     0.887478     -2.45905
      38      28    -0.437926     -1.05130
      38      29      5.00947      2.81517
      38      30    -0.281725      1.17901
      38      31     -2.08206      1.13410
      38      32    -0.218527     -4.17791
      38      33     -1.00132     -1.95133
      38      34     0.443488      1.26136
      38      35     -6.75242      2.08569
      38      36     0.226522     -2.37492
      38      37    -0.486178      4.03777
      38      38    -0.545408     -1.99637
      39       0      1.97266      0.00000
      39       1     -1.37615     0.470184
      39       2     0.146931     -1.51300
      39       3     -2.02501     -1.03781
      39       4      1.11224   -0.0620886
      39       5      1.11878    -0.724090
